#Name	Charge	Finite-Size	Chem Pot (B-rich)	Chem Pot (N-rich)	Total_energy(removed)	Total_energy(added)	Total Energy (eV)
Ge_B1	-1	0.270113	0.000000	-2.563770	-6.704191	-4.493060	-1861.219152
Ge_B1	-2	1.080454	0.000000	-2.563770	-6.704191	-4.493060	-1848.969797
Ge_B1	0	0.000000	0.000000	-2.563770	-6.704191	-4.493060	-1873.439470
Ge_B1	1	0.270113	0.000000	-2.563770	-6.704191	-4.493060	-1885.659319
Ge_B1	2	1.080454	0.000000	-2.563770	-6.704191	-4.493060	-1892.889522
S_B1	-1	0.270113	0.000000	-2.563770	-6.704191	-4.131528	-1859.053211
S_B1	-2	1.080454	0.000000	-2.563770	-6.704191	-4.131528	-1847.696084
S_B1	-3	2.431021	0.000000	-2.563770	-6.704191	-4.131528	-1836.088832
S_B1	-4	4.321815	0.000000	-2.563770	-6.704191	-4.131528	-1823.827368
S_B1	0	0.000000	0.000000	-2.563770	-6.704191	-4.131528	-1869.728096
S_B1	1	0.270113	0.000000	-2.563770	-6.704191	-4.131528	-1879.464185
S_B1	2	1.080454	0.000000	-2.563770	-6.704191	-4.131528	-1889.559276
S_B1	3	2.431021	0.000000	-2.563770	-6.704191	-4.131528	-1899.383609
S_B1	4	4.321815	0.000000	-2.563770	-6.704191	-4.131528	-1906.664426
S_N1	-1	0.270113	-2.563770	0.000000	-8.325982	-4.131528	-1860.049651
S_N1	-2	1.080454	-2.563770	0.000000	-8.325982	-4.131528	-1847.765644
S_N1	0	0.000000	-2.563770	0.000000	-8.325982	-4.131528	-1872.257615
S_N1	1	0.270113	-2.563770	0.000000	-8.325982	-4.131528	-1884.472678
S_N1	2	1.080454	-2.563770	0.000000	-8.325982	-4.131528	-1891.729751
Se_N1	-1	0.270113	-2.563770	0.000000	-8.325982	-3.509960	-1856.315468
Se_N1	-2	1.080454	-2.563770	0.000000	-8.325982	-3.509960	-1843.988548
Se_N1	0	0.000000	-2.563770	0.000000	-8.325982	-3.509960	-1868.453138
Se_N1	1	0.270113	-2.563770	0.000000	-8.325982	-3.509960	-1880.600984
Se_N1	2	1.080454	-2.563770	0.000000	-8.325982	-3.509960	-1887.891640
Si_B1	-1	0.270113	0.000000	-2.563770	-6.704191	-5.393273	-1865.767463
Si_B1	-2	1.080454	0.000000	-2.563770	-6.704191	-5.393273	-1853.536855
Si_B1	0	0.000000	0.000000	-2.563770	-6.704191	-5.393273	-1877.989208
Si_B1	1	0.270113	0.000000	-2.563770	-6.704191	-5.393273	-1890.190504
Si_B1	2	1.080454	0.000000	-2.563770	-6.704191	-5.393273	-1897.432039
Si_N1	-1	0.270113	-2.563770	0.000000	-8.325982	-5.393273	-1861.156169
Si_N1	-2	1.080454	-2.563770	0.000000	-8.325982	-5.393273	-1848.875336
Si_N1	0	0.000000	-2.563770	0.000000	-8.325982	-5.393273	-1870.381342
Si_N1	1	0.270113	-2.563770	0.000000	-8.325982	-5.393273	-1879.058856
Si_N1	2	1.080454	-2.563770	0.000000	-8.325982	-5.393273	-1887.415984
Si_N1	3	2.431021	-2.563770	0.000000	-8.325982	-5.393273	-1895.497908
