#Name	Charge	Finite-Size	Chem Pot (A)	Chem Pot (B)	Total_energy(removed)	Total_energy(added)	Total Energy (eV)
F_N1	-1	0.270113	-2.563770	0.000000	-8.325982	-1.809125	-1859.978895
F_N1	0	0.000000	-2.563770	0.000000	-8.325982	-1.809125	-1872.270383
F_N1	1	0.270113	-2.563770	0.000000	-8.325982	-1.809125	-1883.403321
F_N1	2	1.080454	-2.563770	0.000000	-8.325982	-1.809125	-1894.147426
F_N1	3	2.431021	-2.563770	0.000000	-8.325982	-1.809125	-1901.285919
F_i1	-1	0.270113	0.000000	0.000000	0.000000	-1.809125	-1868.013747
F_i1	-2	1.080454	0.000000	0.000000	0.000000	-1.809125	-1855.737574
F_i1	0	0.000000	0.000000	0.000000	0.000000	-1.809125	-1875.339911
F_i1	1	0.270113	0.000000	0.000000	0.000000	-1.809125	-1882.586512
F_i1	2	1.080454	0.000000	0.000000	0.000000	-1.809125	-1889.787436
F_i1	3	2.431021	0.000000	0.000000	0.000000	-1.809125	-1896.927613
Li_B1	-1	0.270113	0.000000	-2.563770	-6.704191	-1.901750	-1865.832434
Li_B1	-2	1.080454	0.000000	-2.563770	-6.704191	-1.901750	-1857.937661
Li_B1	-3	2.431021	0.000000	-2.563770	-6.704191	-1.901750	-1845.746919
Li_B1	0	0.000000	0.000000	-2.563770	-6.704191	-1.901750	-1873.456270
Li_B1	1	0.270113	0.000000	-2.563770	-6.704191	-1.901750	-1880.815439
Li_i1	-1	0.270113	0.000000	0.000000	0.000000	-1.901750	-1866.922694
Li_i1	0	0.000000	0.000000	0.000000	0.000000	-1.901750	-1879.145142
Li_i1	1	0.270113	0.000000	0.000000	0.000000	-1.901750	-1891.355886
Li_i1	2	1.080454	0.000000	0.000000	0.000000	-1.901750	-1898.547411
