#Name	Charge	Finite-Size	Chem Pot (B-rich)	Chem Pot (N-rich)	Total_energy(removed)	Total_energy(added)	Total Energy (eV)
B_N1	-1	0.270113	-2.563770	0.000000	-8.325982	-6.704191	-1866.696016
B_N1	-2	1.080454	-2.563770	0.000000	-8.325982	-6.704191	-1857.161544
B_N1	-3	2.431021	-2.563770	0.000000	-8.325982	-6.704191	-1844.973348
B_N1	-4	4.321815	-2.563770	0.000000	-8.325982	-6.704191	-1832.772242
B_N1	0	0.000000	-2.563770	0.000000	-8.325982	-6.704191	-1875.519351
B_N1	1	0.270113	-2.563770	0.000000	-8.325982	-6.704191	-1883.743559
B_N1	2	1.080454	-2.563770	0.000000	-8.325982	-6.704191	-1891.545455
B_N1	3	2.431021	-2.563770	0.000000	-8.325982	-6.704191	-1898.844619
B_N1	4	4.321815	-2.563770	0.000000	-8.325982	-6.704191	-1906.133620
B_i1	-1	0.270113	0.000000	0.000000	0.000000	-6.704191	-1869.601233
B_i1	-2	1.080454	0.000000	0.000000	0.000000	-6.704191	-1857.918136
B_i1	-3	2.431021	0.000000	0.000000	0.000000	-6.704191	-1847.317512
B_i1	-4	4.321815	0.000000	0.000000	0.000000	-6.704191	-1835.095850
B_i1	0	0.000000	0.000000	0.000000	0.000000	-6.704191	-1880.935470
B_i1	1	0.270113	0.000000	0.000000	0.000000	-6.704191	-1889.747801
B_i1	2	1.080454	0.000000	0.000000	0.000000	-6.704191	-1899.894244
N_B1	-1	0.270113	0.000000	-2.563770	-6.704191	-8.325982	-1866.091426
N_B1	-2	1.080454	0.000000	-2.563770	-6.704191	-8.325982	-1855.296553
N_B1	-3	2.431021	0.000000	-2.563770	-6.704191	-8.325982	-1843.083794
N_B1	-4	4.321815	0.000000	-2.563770	-6.704191	-8.325982	-1830.860801
N_B1	0	0.000000	0.000000	-2.563770	-6.704191	-8.325982	-1877.056188
N_B1	1	0.270113	0.000000	-2.563770	-6.704191	-8.325982	-1886.680609
N_B1	2	1.080454	0.000000	-2.563770	-6.704191	-8.325982	-1895.475039
N_B1	3	2.431021	0.000000	-2.563770	-6.704191	-8.325982	-1902.655645
N_B1	4	4.321815	0.000000	-2.563770	-6.704191	-8.325982	-1909.791436
N_i1	-1	0.270113	0.000000	0.000000	0.000000	-8.325982	-1874.641621
N_i1	-2	1.080454	0.000000	0.000000	0.000000	-8.325982	-1858.716559
N_i1	-3	2.431021	0.000000	0.000000	0.000000	-8.325982	-1848.629064
N_i1	-4	4.321815	0.000000	0.000000	0.000000	-8.325982	-1836.400768
N_i1	0	0.000000	0.000000	0.000000	0.000000	-8.325982	-1877.708219
N_i1	1	0.270113	0.000000	0.000000	0.000000	-8.325982	-1892.649160
N_i1	2	1.080454	0.000000	0.000000	0.000000	-8.325982	-1899.956310
N_i1	3	2.431021	0.000000	0.000000	0.000000	-8.325982	-1907.307234
N_i1	4	4.321815	0.000000	0.000000	0.000000	-8.325982	-1914.283046
