Name	Charge	Energy (eV)	Fermi Level (eV)
Li_B	[-2, -3]	3.918891	0.623298
F_i	[-1, -2]	10.829516	-0.606010
Li_B	[-1, -2]	3.918891	-0.068128
F_N	[0, -1]	5.954132	3.590469
F_i	[0, -1]	10.049404	-0.996066
Li_B	[0, -1]	3.178447	1.363742
Li_i	[0, -1]	7.497980	5.016708
F_N	[1, 0]	5.092288	2.728624
F_i	[1, 0]	11.210587	-0.224939
Li_B	[1, 0]	-5.882652	5.894291
Li_i	[1, 0]	7.497980	4.630419
F_N	[2, 1]	5.954132	5.145325
F_i	[2, 1]	11.210587	0.222984
Li_i	[2, 1]	2.179629	-0.687932
F_N	[3, 2]	-2.499371	-1.067205
F_i	[3, 2]	5.921948	5.511622
