#Name	Charge	Finite-Size	Chem Pot (B-rich)	Chem Pot (N-rich)	Total_energy(removed)	Total_energy(added)	Total Energy (eV)
C_B1	-1	0.270113	0.000000	-2.563770	-6.704191	-9.224938	-1868.093739
C_B1	-2	1.080454	0.000000	-2.563770	-6.704191	-9.224938	-1855.858155
C_B1	0	0.000000	0.000000	-2.563770	-6.704191	-9.224938	-1880.323570
C_B1	1	0.270113	0.000000	-2.563770	-6.704191	-9.224938	-1892.534744
C_B1	2	1.080454	0.000000	-2.563770	-6.704191	-9.224938	-1899.699552
C_N1	-1	0.270113	-2.563770	0.000000	-8.325982	-9.224938	-1873.548034
C_N1	-2	1.080454	-2.563770	0.000000	-8.325982	-9.224938	-1861.321125
C_N1	0	0.000000	-2.563770	0.000000	-8.325982	-9.224938	-1881.046029
C_N1	1	0.270113	-2.563770	0.000000	-8.325982	-9.224938	-1888.306017
C_N1	2	1.080454	-2.563770	0.000000	-8.325982	-9.224938	-1895.541341
C_i1	-1	0.270113	0.000000	0.000000	0.000000	-9.224938	-1873.055982
C_i1	-2	1.080454	0.000000	0.000000	0.000000	-9.224938	-1861.634984
C_i1	0	0.000000	0.000000	0.000000	0.000000	-9.224938	-1883.528460
C_i1	1	0.270113	0.000000	0.000000	0.000000	-9.224938	-1892.369099
C_i1	2	1.080454	0.000000	0.000000	0.000000	-9.224938	-1900.640630
O_B1	-1	0.270113	0.000000	-2.563770	-6.704191	-4.942539	-1864.551726
O_B1	-2	1.080454	0.000000	-2.563770	-6.704191	-4.942539	-1854.496443
O_B1	0	0.000000	0.000000	-2.563770	-6.704191	-4.942539	-1873.787481
O_B1	1	0.270113	0.000000	-2.563770	-6.704191	-4.942539	-1882.242054
O_B1	2	1.080454	0.000000	-2.563770	-6.704191	-4.942539	-1889.744599
O_N1	-1	0.270113	-2.563770	0.000000	-8.325982	-4.942539	-1867.222419
O_N1	-2	1.080454	-2.563770	0.000000	-8.325982	-4.942539	-1854.937371
O_N1	0	0.000000	-2.563770	0.000000	-8.325982	-4.942539	-1879.164443
O_N1	1	0.270113	-2.563770	0.000000	-8.325982	-4.942539	-1891.076455
O_N1	2	1.080454	-2.563770	0.000000	-8.325982	-4.942539	-1898.223768
O_i1	-1	0.270113	0.000000	0.000000	0.000000	-4.942539	-1870.681904
O_i1	0	0.000000	0.000000	0.000000	0.000000	-4.942539	-1883.266979
O_i1	1	0.270113	0.000000	0.000000	0.000000	-4.942539	-1891.549590
O_i1	2	1.080454	0.000000	0.000000	0.000000	-4.942539	-1898.543223
