#Name	Charge	Finite-Size	Chem Pot (A)	Chem Pot (B)	Total_energy(removed)	Total_energy(added)	Total Energy (eV)
Va_B1	-1	0.270113	0.000000	-2.563770	-6.704191	0.000000	-1861.996537
Va_B1	-2	1.080454	0.000000	-2.563770	-6.704191	0.000000	-1853.359235
Va_B1	-3	2.431021	0.000000	-2.563770	-6.704191	0.000000	-1844.375537
Va_B1	-4	4.321815	0.000000	-2.563770	-6.704191	0.000000	-1832.257336
Va_B1	0	0.000000	0.000000	-2.563770	-6.704191	0.000000	-1870.306749
Va_B1	1	0.270113	0.000000	-2.563770	-6.704191	0.000000	-1877.519760
Va_B1	2	1.080454	0.000000	-2.563770	-6.704191	0.000000	-1884.650678
Va_N1	-1	0.270113	-2.563770	0.000000	-8.325982	0.000000	-1857.351796
Va_N1	0	0.000000	-2.563770	0.000000	-8.325982	0.000000	-1868.795535
Va_N1	1	0.270113	-2.563770	0.000000	-8.325982	0.000000	-1879.978478
Va_N1	2	1.080454	-2.563770	0.000000	-8.325982	0.000000	-1887.602492
Va_N1	3	2.431021	-2.563770	0.000000	-8.325982	0.000000	-1895.876358
Va_N1	4	4.321815	-2.563770	0.000000	-8.325982	0.000000	-1902.954856
