Defect: C_B1-Va_N1_2

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        11.263100      0.000000   Unoccupied
431        11.408100      0.000000   Unoccupied
432        11.473300      0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
430        11.283100      0.000000   Unoccupied
431        11.416000      0.000000   Unoccupied
432        11.440900      0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
430        11.301300      0.000000   Unoccupied
431        11.371100      0.000000   Unoccupied
432        11.473000      0.000000   Unoccupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        11.263100      0.000000   Unoccupied
431        11.408100      0.000000   Unoccupied
432        11.473300      0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
430        11.283100      0.000000   Unoccupied
431        11.416000      0.000000   Unoccupied
432        11.440900      0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
430        11.301300      0.000000   Unoccupied
431        11.371100      0.000000   Unoccupied
432        11.473000      0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
41     0.026      0.209      0.000      0.236     

Information of band 431:
index  s          p          d          tot       
26     0.030      0.251      0.000      0.281     

Information of band 432:
index  s          p          d          tot       
70     0.029      0.164      0.000      0.193     
103    0.029      0.164      0.000      0.193     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 430:
index  s          p          d          tot       
41     0.019      0.153      0.000      0.172     
70     0.017      0.100      0.000      0.117     

Information of band 431:
index  s          p          d          tot       
26     0.022      0.183      0.000      0.205     
41     0.012      0.095      0.000      0.108     

Information of band 432:
index  s          p          d          tot       
70     0.015      0.091      0.000      0.107     
103    0.034      0.189      0.000      0.223     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 430:
index  s          p          d          tot       
41     0.014      0.118      0.000      0.132     

Information of band 431:
index  s          p          d          tot       
26     0.022      0.180      0.000      0.202     
41     0.017      0.134      0.000      0.151     

Information of band 432:
index  s          p          d          tot       
70     0.029      0.164      0.000      0.193     
103    0.029      0.164      0.000      0.193     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
41     0.026      0.209      0.000      0.236     

Information of band 431:
index  s          p          d          tot       
26     0.030      0.251      0.000      0.281     

Information of band 432:
index  s          p          d          tot       
70     0.029      0.164      0.000      0.193     
103    0.029      0.164      0.000      0.193     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 430:
index  s          p          d          tot       
41     0.019      0.153      0.000      0.172     
70     0.017      0.100      0.000      0.117     

Information of band 431:
index  s          p          d          tot       
26     0.022      0.183      0.000      0.205     
41     0.012      0.095      0.000      0.108     

Information of band 432:
index  s          p          d          tot       
70     0.015      0.091      0.000      0.107     
103    0.034      0.189      0.000      0.223     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 430:
index  s          p          d          tot       
41     0.014      0.118      0.000      0.132     

Information of band 431:
index  s          p          d          tot       
26     0.022      0.180      0.000      0.202     
41     0.017      0.134      0.000      0.151     

Information of band 432:
index  s          p          d          tot       
70     0.029      0.164      0.000      0.193     
103    0.029      0.164      0.000      0.193     
