Defect: N_B1_-3

VBM = 6.7056 eV
CBM = 12.5198 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.012600       1.000000   Occupied
431        0.012600       1.000000   Occupied
432        0.012600       1.000000   Occupied
433        2.640500       1.000000   Occupied
434        4.924500       1.000000   Occupied
435        4.924500       1.000000   Occupied
436        4.924500       1.000000   Occupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.452700       1.000000   Occupied
431        0.452700       1.000000   Occupied
432        0.452800       1.000000   Occupied
433        3.880300       1.000000   Occupied
434        5.765400       0.000000   Unoccupied
435        5.765400       0.000000   Unoccupied
436        5.765400       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       

Information of band 431:
index  s          p          d          tot       

Information of band 432:
index  s          p          d          tot       

Information of band 433:
index  s          p          d          tot       
108    0.105      0.000      0.000      0.105     
123    0.002      0.116      0.000      0.118     
150    0.002      0.116      0.000      0.118     
176    0.002      0.116      0.000      0.118     
203    0.002      0.116      0.000      0.118     

Information of band 434:
index  s          p          d          tot       
108    0.000      0.268      0.000      0.268     
176    0.009      0.102      0.000      0.110     
203    0.009      0.102      0.000      0.110     

Information of band 435:
index  s          p          d          tot       
108    0.000      0.268      0.000      0.268     
123    0.004      0.052      0.000      0.057     
150    0.004      0.052      0.000      0.057     
176    0.004      0.052      0.000      0.057     
203    0.004      0.052      0.000      0.057     

Information of band 436:
index  s          p          d          tot       
108    0.000      0.268      0.000      0.268     
123    0.009      0.102      0.000      0.110     
150    0.009      0.102      0.000      0.110     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
108    0.000      0.079      0.000      0.079     
123    0.001      0.106      0.000      0.107     
135    0.001      0.031      0.000      0.032     
138    0.001      0.031      0.000      0.032     
150    0.001      0.106      0.000      0.107     

Information of band 431:
index  s          p          d          tot       
108    0.000      0.079      0.000      0.079     
123    0.000      0.058      0.000      0.059     
150    0.000      0.058      0.000      0.059     
176    0.000      0.058      0.000      0.059     
203    0.000      0.058      0.000      0.059     

Information of band 432:
index  s          p          d          tot       
108    0.000      0.079      0.000      0.079     
170    0.001      0.031      0.000      0.032     
176    0.001      0.106      0.000      0.107     
203    0.001      0.106      0.000      0.107     
209    0.001      0.031      0.000      0.032     

Information of band 433:
index  s          p          d          tot       
108    0.154      0.000      0.000      0.154     
123    0.003      0.106      0.000      0.108     
150    0.003      0.106      0.000      0.108     
176    0.003      0.106      0.000      0.108     
203    0.003      0.106      0.000      0.108     

Information of band 434:
index  s          p          d          tot       

Information of band 435:
index  s          p          d          tot       

Information of band 436:
index  s          p          d          tot       
