Defect: N_B1_3

VBM = 6.7056 eV
CBM = 12.5198 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.011400       1.000000   Occupied
431        0.011500       1.000000   Occupied
432        0.248300       0.000000   Unoccupied
433        5.131700       0.000000   Unoccupied
434        5.558300       0.000000   Unoccupied
435        5.558400       0.000000   Unoccupied
436        5.562200       0.000000   Unoccupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
431        0.002700       1.000000   Occupied
432        0.002900       1.000000   Occupied
433        5.127200       0.000000   Unoccupied
434        5.555000       0.000000   Unoccupied
435        5.559000       0.000000   Unoccupied
436        5.559100       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       

Information of band 431:
index  s          p          d          tot       

Information of band 432:
index  s          p          d          tot       

Information of band 433:
index  s          p          d          tot       
108    0.199      0.000      0.000      0.199     
123    0.010      0.069      0.000      0.079     
150    0.010      0.069      0.000      0.079     
176    0.010      0.069      0.000      0.079     
203    0.010      0.069      0.000      0.079     

Information of band 434:
index  s          p          d          tot       
108    0.000      0.080      0.000      0.080     

Information of band 435:
index  s          p          d          tot       
108    0.000      0.080      0.000      0.080     

Information of band 436:
index  s          p          d          tot       
108    0.000      0.081      0.000      0.081     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 431:
index  s          p          d          tot       

Information of band 432:
index  s          p          d          tot       

Information of band 433:
index  s          p          d          tot       
108    0.199      0.000      0.000      0.199     
123    0.010      0.069      0.000      0.079     
150    0.010      0.069      0.000      0.079     
176    0.010      0.069      0.000      0.079     
203    0.010      0.069      0.000      0.079     

Information of band 434:
index  s          p          d          tot       
108    0.000      0.080      0.000      0.080     

Information of band 435:
index  s          p          d          tot       
108    0.000      0.081      0.000      0.081     

Information of band 436:
index  s          p          d          tot       
108    0.000      0.081      0.000      0.081     
