Defect: N_B1-Va_N1_-2

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.743200       1.000000   Occupied
430        2.497100       1.000000   Occupied
431        3.412400       1.000000   Occupied
432        3.948700       1.000000   Occupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.790700       1.000000   Occupied
430        2.523000       1.000000   Occupied
431        3.387600       1.000000   Occupied
432        3.919700       1.000000   Occupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.789800       1.000000   Occupied
430        2.517500       1.000000   Occupied
431        3.388700       1.000000   Occupied
432        3.955100       1.000000   Occupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
428        0.061400       1.000000   Occupied
429        0.757400       1.000000   Occupied
430        2.512900       1.000000   Occupied
431        3.439700       1.000000   Occupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
428        0.053800       1.000000   Occupied
429        0.804100       1.000000   Occupied
430        2.539500       1.000000   Occupied
431        3.415900       1.000000   Occupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
428        0.051800       1.000000   Occupied
429        0.803200       1.000000   Occupied
430        2.533900       1.000000   Occupied
431        3.416200       1.000000   Occupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
108    0.007      0.122      0.000      0.129     
135    0.002      0.034      0.000      0.036     
149    0.000      0.231      0.000      0.231     
179    0.002      0.031      0.000      0.033     
212    0.002      0.031      0.000      0.033     

Information of band 430:
index  s          p          d          tot       
108    0.064      0.086      0.000      0.150     
123    0.006      0.061      0.000      0.067     
149    0.004      0.065      0.000      0.069     
175    0.006      0.108      0.000      0.115     
202    0.006      0.108      0.000      0.115     

Information of band 431:
index  s          p          d          tot       
108    0.067      0.245      0.000      0.311     
123    0.001      0.038      0.000      0.039     
149    0.005      0.106      0.000      0.112     
175    0.001      0.047      0.000      0.048     
202    0.001      0.047      0.000      0.048     

Information of band 432:
index  s          p          d          tot       
70     0.017      0.149      0.000      0.166     
103    0.017      0.149      0.000      0.166     
108    0.000      0.041      0.000      0.041     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
108    0.008      0.119      0.000      0.127     
135    0.002      0.034      0.000      0.036     
149    0.000      0.223      0.000      0.223     
179    0.002      0.031      0.000      0.033     
212    0.002      0.032      0.000      0.034     

Information of band 430:
index  s          p          d          tot       
108    0.060      0.091      0.000      0.151     
123    0.006      0.059      0.000      0.065     
149    0.004      0.069      0.000      0.073     
175    0.006      0.105      0.000      0.111     
202    0.006      0.106      0.000      0.112     

Information of band 431:
index  s          p          d          tot       
108    0.069      0.236      0.000      0.305     
123    0.001      0.039      0.000      0.040     
149    0.005      0.100      0.000      0.105     
175    0.001      0.050      0.000      0.051     
202    0.001      0.050      0.000      0.051     

Information of band 432:
index  s          p          d          tot       
70     0.018      0.149      0.000      0.168     
103    0.017      0.143      0.000      0.160     
108    0.000      0.040      0.000      0.041     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 429:
index  s          p          d          tot       
108    0.008      0.120      0.000      0.128     
135    0.002      0.032      0.000      0.034     
149    0.000      0.221      0.000      0.222     
179    0.002      0.032      0.000      0.034     
212    0.002      0.032      0.000      0.034     

Information of band 430:
index  s          p          d          tot       
108    0.061      0.088      0.000      0.149     
123    0.006      0.059      0.000      0.065     
149    0.004      0.069      0.000      0.073     
175    0.006      0.106      0.000      0.112     
202    0.006      0.106      0.000      0.112     

Information of band 431:
index  s          p          d          tot       
108    0.069      0.238      0.000      0.307     
123    0.001      0.039      0.000      0.040     
149    0.006      0.101      0.000      0.107     
175    0.001      0.049      0.000      0.050     
202    0.001      0.049      0.000      0.050     

Information of band 432:
index  s          p          d          tot       
70     0.018      0.150      0.000      0.167     
103    0.018      0.150      0.000      0.167     
108    0.000      0.040      0.000      0.040     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 428:
index  s          p          d          tot       
26     0.008      0.082      0.000      0.090     
41     0.006      0.080      0.000      0.085     
70     0.000      0.032      0.000      0.032     
103    0.000      0.032      0.000      0.032     

Information of band 429:
index  s          p          d          tot       
108    0.007      0.118      0.000      0.124     
135    0.002      0.034      0.000      0.036     
149    0.000      0.232      0.000      0.233     
179    0.002      0.031      0.000      0.033     
212    0.002      0.031      0.000      0.033     

Information of band 430:
index  s          p          d          tot       
108    0.067      0.088      0.000      0.155     
123    0.007      0.062      0.000      0.069     
149    0.004      0.064      0.000      0.068     
175    0.007      0.112      0.000      0.119     
202    0.007      0.112      0.000      0.119     

Information of band 431:
index  s          p          d          tot       
108    0.069      0.243      0.000      0.313     
123    0.001      0.039      0.000      0.040     
149    0.005      0.104      0.000      0.110     
