Defect: Va_B1-Va_N1_2

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.860700       0.000000   Unoccupied
430        4.011900       0.000000   Unoccupied
431        4.080600       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.839500       0.000000   Unoccupied
430        4.086100       0.000000   Unoccupied
431        4.086200       0.000000   Unoccupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
427        0.864100       0.000000   Unoccupied
428        0.918000       0.000000   Unoccupied
429        1.878500       0.000000   Unoccupied
430        4.015200       0.000000   Unoccupied
431        4.084600       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
427        0.926300       0.000000   Unoccupied
428        0.926300       0.000000   Unoccupied
429        1.860500       0.000000   Unoccupied
430        4.087200       0.000000   Unoccupied
431        4.087200       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.082      0.000      0.082     

Information of band 430:
index  s          p          d          tot       
18     0.001      0.054      0.000      0.054     
70     0.001      0.054      0.000      0.054     
94     0.003      0.221      0.000      0.224     

Information of band 431:
index  s          p          d          tot       
18     0.002      0.174      0.000      0.176     
70     0.002      0.174      0.000      0.176     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.084      0.000      0.084     

Information of band 430:
index  s          p          d          tot       
70     0.002      0.175      0.000      0.178     
94     0.002      0.175      0.000      0.178     

Information of band 431:
index  s          p          d          tot       
18     0.003      0.234      0.000      0.237     
70     0.001      0.059      0.000      0.059     
94     0.001      0.059      0.000      0.059     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 427:
index  s          p          d          tot       
122    0.002      0.075      0.000      0.078     
149    0.009      0.295      0.000      0.304     
175    0.002      0.075      0.000      0.078     

Information of band 428:
index  s          p          d          tot       
122    0.006      0.215      0.000      0.222     
175    0.006      0.215      0.000      0.222     

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.082      0.000      0.082     

Information of band 430:
index  s          p          d          tot       
18     0.001      0.054      0.000      0.054     
70     0.001      0.054      0.000      0.055     
94     0.003      0.222      0.000      0.224     

Information of band 431:
index  s          p          d          tot       
18     0.002      0.174      0.000      0.177     
70     0.002      0.174      0.000      0.177     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 427:
index  s          p          d          tot       
122    0.002      0.074      0.000      0.076     
149    0.002      0.074      0.000      0.076     
175    0.008      0.286      0.000      0.294     

Information of band 428:
index  s          p          d          tot       
122    0.006      0.215      0.000      0.221     
149    0.006      0.215      0.000      0.221     

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.084      0.000      0.084     

Information of band 430:
index  s          p          d          tot       
70     0.002      0.175      0.000      0.178     
94     0.002      0.175      0.000      0.178     

Information of band 431:
index  s          p          d          tot       
18     0.003      0.234      0.000      0.237     
70     0.001      0.059      0.000      0.059     
94     0.001      0.059      0.000      0.059     
