Defect: Va_B1-Si_B2_-3

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.171100       1.000000   Occupied
431        1.692800       1.000000   Occupied
432        1.821700       1.000000   Occupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.227700       1.000000   Occupied
431        1.655900       1.000000   Occupied
432        1.817900       1.000000   Occupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.236200       1.000000   Occupied
431        1.692900       1.000000   Occupied
432        1.777400       1.000000   Occupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.171100       1.000000   Occupied
431        1.692800       1.000000   Occupied
432        1.821700       1.000000   Occupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.227700       1.000000   Occupied
431        1.655900       1.000000   Occupied
432        1.817900       1.000000   Occupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.236200       1.000000   Occupied
431        1.692900       1.000000   Occupied
432        1.777400       1.000000   Occupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.003      0.099      0.000      0.101     
138    0.003      0.099      0.000      0.101     
201    0.013      0.215      0.000      0.229     

Information of band 431:
index  s          p          d          tot       
120    0.008      0.217      0.000      0.226     
138    0.008      0.217      0.000      0.226     

Information of band 432:
index  s          p          d          tot       
112    0.003      0.029      0.000      0.032     
120    0.002      0.041      0.000      0.043     
136    0.003      0.029      0.000      0.032     
138    0.002      0.041      0.000      0.043     
165    0.012      0.343      0.000      0.354     
189    0.003      0.028      0.000      0.031     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.003      0.115      0.000      0.117     
138    0.002      0.091      0.000      0.093     
201    0.013      0.203      0.000      0.216     

Information of band 431:
index  s          p          d          tot       
120    0.009      0.228      0.000      0.237     
138    0.008      0.206      0.000      0.214     

Information of band 432:
index  s          p          d          tot       
136    0.003      0.029      0.000      0.032     
138    0.002      0.059      0.000      0.061     
165    0.012      0.343      0.000      0.354     
189    0.003      0.029      0.000      0.031     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.002      0.100      0.000      0.102     
138    0.002      0.100      0.000      0.102     
201    0.013      0.206      0.000      0.218     

Information of band 431:
index  s          p          d          tot       
120    0.008      0.218      0.000      0.226     
138    0.008      0.218      0.000      0.226     

Information of band 432:
index  s          p          d          tot       
112    0.003      0.028      0.000      0.031     
120    0.002      0.038      0.000      0.040     
136    0.003      0.028      0.000      0.031     
138    0.002      0.038      0.000      0.040     
165    0.012      0.352      0.000      0.364     
189    0.003      0.028      0.000      0.032     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.003      0.099      0.000      0.101     
138    0.003      0.099      0.000      0.101     
201    0.013      0.215      0.000      0.229     

Information of band 431:
index  s          p          d          tot       
120    0.008      0.217      0.000      0.226     
138    0.008      0.217      0.000      0.226     

Information of band 432:
index  s          p          d          tot       
112    0.003      0.029      0.000      0.032     
120    0.002      0.041      0.000      0.043     
136    0.003      0.029      0.000      0.032     
138    0.002      0.041      0.000      0.043     
165    0.012      0.343      0.000      0.354     
189    0.003      0.028      0.000      0.031     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.003      0.115      0.000      0.117     
138    0.002      0.091      0.000      0.093     
201    0.013      0.203      0.000      0.216     

Information of band 431:
index  s          p          d          tot       
120    0.009      0.228      0.000      0.237     
138    0.008      0.206      0.000      0.214     

Information of band 432:
index  s          p          d          tot       
136    0.003      0.029      0.000      0.032     
138    0.002      0.059      0.000      0.061     
165    0.012      0.343      0.000      0.354     
189    0.003      0.029      0.000      0.031     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.002      0.100      0.000      0.102     
138    0.002      0.100      0.000      0.102     
201    0.013      0.206      0.000      0.218     

Information of band 431:
index  s          p          d          tot       
120    0.008      0.218      0.000      0.226     
138    0.008      0.218      0.000      0.226     

Information of band 432:
index  s          p          d          tot       
112    0.003      0.028      0.000      0.031     
120    0.002      0.038      0.000      0.040     
136    0.003      0.028      0.000      0.031     
138    0.002      0.038      0.000      0.040     
165    0.012      0.352      0.000      0.364     
189    0.003      0.028      0.000      0.032     
