Defect: Va_B1-Si_B2_2

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.295500       0.000000   Unoccupied
431        0.751700       0.000000   Unoccupied
432        0.766400       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.394300       0.000000   Unoccupied
431        0.698100       0.000000   Unoccupied
432        0.756000       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.409300       0.000000   Unoccupied
431        0.676800       0.000000   Unoccupied
432        0.766000       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.001      0.089      0.000      0.090     
138    0.001      0.089      0.000      0.090     
165    0.000      0.035      0.000      0.036     
201    0.012      0.211      0.000      0.223     

Information of band 431:
index  s          p          d          tot       
112    0.002      0.034      0.000      0.035     
120    0.001      0.050      0.000      0.051     
136    0.002      0.034      0.000      0.035     
138    0.001      0.050      0.000      0.050     
165    0.005      0.305      0.000      0.310     
189    0.002      0.031      0.000      0.033     

Information of band 432:
index  s          p          d          tot       
120    0.003      0.206      0.000      0.210     
138    0.003      0.206      0.000      0.210     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.001      0.121      0.000      0.122     
138    0.000      0.069      0.000      0.069     
201    0.010      0.178      0.000      0.188     

Information of band 431:
index  s          p          d          tot       
120    0.004      0.237      0.000      0.241     
138    0.002      0.094      0.000      0.096     
165    0.002      0.093      0.000      0.095     

Information of band 432:
index  s          p          d          tot       
138    0.003      0.175      0.000      0.178     
165    0.003      0.227      0.000      0.230     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.001      0.085      0.000      0.085     
138    0.001      0.085      0.000      0.085     
201    0.010      0.184      0.000      0.194     

Information of band 431:
index  s          p          d          tot       
112    0.002      0.033      0.000      0.035     
120    0.001      0.047      0.000      0.048     
136    0.002      0.033      0.000      0.035     
138    0.001      0.047      0.000      0.048     
165    0.005      0.331      0.000      0.336     
189    0.002      0.033      0.000      0.035     

Information of band 432:
index  s          p          d          tot       
120    0.003      0.207      0.000      0.210     
138    0.003      0.207      0.000      0.210     
