Defect: Va_N1-C_N2_-1

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.128100       1.000000   Occupied
430        3.995400       1.000000   Occupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
428        0.046700       1.000000   Occupied
429        0.145100       1.000000   Occupied
430        4.033300       1.000000   Occupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
428        0.046600       1.000000   Occupied
429        0.154400       1.000000   Occupied
430        4.028500       1.000000   Occupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.387100       1.000000   Occupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
428        0.052600       1.000000   Occupied
429        0.406800       1.000000   Occupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
428        0.053000       1.000000   Occupied
429        0.410600       1.000000   Occupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
24     0.006      0.045      0.000      0.051     
26     0.007      0.063      0.000      0.070     
41     0.002      0.041      0.000      0.042     
71     0.002      0.043      0.000      0.045     
215    0.000      0.081      0.000      0.081     

Information of band 430:
index  s          p          d          tot       
41     0.030      0.157      0.000      0.187     
71     0.027      0.143      0.000      0.170     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 428:
index  s          p          d          tot       
42     0.006      0.054      0.000      0.060     
68     0.006      0.054      0.000      0.060     
146    0.001      0.041      0.000      0.042     
149    0.001      0.041      0.000      0.042     
215    0.000      0.135      0.000      0.135     

Information of band 429:
index  s          p          d          tot       
24     0.006      0.044      0.000      0.050     
26     0.007      0.064      0.000      0.071     
41     0.002      0.043      0.000      0.045     
71     0.002      0.043      0.000      0.045     
104    0.003      0.031      0.000      0.033     
215    0.000      0.080      0.000      0.080     

Information of band 430:
index  s          p          d          tot       
41     0.029      0.154      0.000      0.183     
71     0.029      0.154      0.000      0.183     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 428:
index  s          p          d          tot       
42     0.006      0.054      0.000      0.060     
68     0.006      0.054      0.000      0.060     
146    0.001      0.041      0.000      0.042     
149    0.001      0.041      0.000      0.042     
215    0.000      0.135      0.000      0.135     

Information of band 429:
index  s          p          d          tot       
24     0.006      0.049      0.000      0.056     
26     0.006      0.059      0.000      0.066     
41     0.002      0.042      0.000      0.044     
71     0.002      0.042      0.000      0.044     
215    0.000      0.084      0.000      0.084     

Information of band 430:
index  s          p          d          tot       
41     0.029      0.153      0.000      0.182     
71     0.029      0.153      0.000      0.182     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
24     0.006      0.036      0.000      0.042     
26     0.012      0.093      0.000      0.106     
41     0.001      0.036      0.000      0.037     
71     0.002      0.038      0.000      0.039     
104    0.000      0.038      0.000      0.038     
215    0.000      0.059      0.000      0.059     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 428:
index  s          p          d          tot       
42     0.006      0.054      0.000      0.060     
68     0.006      0.054      0.000      0.060     
146    0.001      0.041      0.000      0.042     
149    0.001      0.041      0.000      0.042     
215    0.000      0.135      0.000      0.135     

Information of band 429:
index  s          p          d          tot       
24     0.005      0.036      0.000      0.042     
26     0.012      0.092      0.000      0.104     
41     0.002      0.037      0.000      0.038     
71     0.002      0.037      0.000      0.038     
104    0.000      0.039      0.000      0.039     
215    0.000      0.060      0.000      0.060     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 428:
index  s          p          d          tot       
42     0.006      0.053      0.000      0.059     
68     0.006      0.053      0.000      0.059     
146    0.001      0.041      0.000      0.042     
149    0.001      0.041      0.000      0.042     
215    0.000      0.135      0.000      0.135     

Information of band 429:
index  s          p          d          tot       
24     0.006      0.038      0.000      0.044     
26     0.011      0.090      0.000      0.101     
41     0.002      0.036      0.000      0.038     
71     0.002      0.036      0.000      0.038     
104    0.000      0.038      0.000      0.038     
215    0.000      0.063      0.000      0.063     
