Defect: Va_N1-C_N2_3

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.535000       0.000000   Unoccupied
430        4.028500       0.000000   Unoccupied
431        4.095900       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.537500       0.000000   Unoccupied
430        4.066100       0.000000   Unoccupied
431        4.130000       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.543300       0.000000   Unoccupied
430        3.998800       0.000000   Unoccupied
431        4.130500       0.000000   Unoccupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.535000       0.000000   Unoccupied
430        4.028500       0.000000   Unoccupied
431        4.095900       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.537500       0.000000   Unoccupied
430        4.066100       0.000000   Unoccupied
431        4.130000       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.543300       0.000000   Unoccupied
430        3.998800       0.000000   Unoccupied
431        4.130500       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.071      0.000      0.071     
41     0.000      0.062      0.000      0.062     
71     0.000      0.065      0.000      0.065     
104    0.001      0.035      0.000      0.036     

Information of band 430:
index  s          p          d          tot       
26     0.001      0.138      0.000      0.139     
41     0.002      0.190      0.000      0.192     

Information of band 431:
index  s          p          d          tot       
26     0.001      0.071      0.000      0.072     
41     0.000      0.040      0.000      0.040     
71     0.003      0.231      0.000      0.234     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.070      0.000      0.070     
41     0.000      0.065      0.000      0.065     
71     0.000      0.065      0.000      0.065     
104    0.002      0.033      0.000      0.035     

Information of band 430:
index  s          p          d          tot       
26     0.002      0.217      0.000      0.219     
41     0.001      0.064      0.000      0.065     
71     0.001      0.064      0.000      0.065     

Information of band 431:
index  s          p          d          tot       
41     0.002      0.173      0.000      0.175     
71     0.002      0.173      0.000      0.175     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.068      0.000      0.068     
41     0.000      0.065      0.000      0.065     
71     0.000      0.065      0.000      0.065     
104    0.001      0.035      0.000      0.036     

Information of band 430:
index  s          p          d          tot       
26     0.002      0.214      0.000      0.216     
41     0.001      0.057      0.000      0.058     
71     0.001      0.057      0.000      0.058     

Information of band 431:
index  s          p          d          tot       
41     0.002      0.173      0.000      0.175     
71     0.002      0.173      0.000      0.175     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.071      0.000      0.071     
41     0.000      0.062      0.000      0.062     
71     0.000      0.065      0.000      0.065     
104    0.001      0.035      0.000      0.036     

Information of band 430:
index  s          p          d          tot       
26     0.001      0.138      0.000      0.139     
41     0.002      0.190      0.000      0.192     

Information of band 431:
index  s          p          d          tot       
26     0.001      0.071      0.000      0.072     
41     0.000      0.040      0.000      0.040     
71     0.003      0.231      0.000      0.234     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.070      0.000      0.070     
41     0.000      0.065      0.000      0.065     
71     0.000      0.065      0.000      0.065     
104    0.002      0.033      0.000      0.035     

Information of band 430:
index  s          p          d          tot       
26     0.002      0.217      0.000      0.219     
41     0.001      0.064      0.000      0.065     
71     0.001      0.064      0.000      0.065     

Information of band 431:
index  s          p          d          tot       
41     0.002      0.173      0.000      0.175     
71     0.002      0.173      0.000      0.175     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.068      0.000      0.068     
41     0.000      0.065      0.000      0.065     
71     0.000      0.065      0.000      0.065     
104    0.001      0.035      0.000      0.036     

Information of band 430:
index  s          p          d          tot       
26     0.002      0.214      0.000      0.216     
41     0.001      0.057      0.000      0.058     
71     0.001      0.057      0.000      0.058     

Information of band 431:
index  s          p          d          tot       
41     0.002      0.173      0.000      0.175     
71     0.002      0.173      0.000      0.175     
