Defect: Va_B1-Si_B2_-1

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.746800       1.000000   Occupied
431        0.808800       1.000000   Occupied
432        1.016100       1.000000   Occupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.787500       1.000000   Occupied
431        0.817200       1.000000   Occupied
432        0.975400       1.000000   Occupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.730200       1.000000   Occupied
431        0.824700       1.000000   Occupied
432        1.015700       1.000000   Occupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.941700       1.000000   Occupied
431        1.427600       0.503600   Partially Occupied
432        1.463100       0.310900   Partially Occupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.002800       1.000000   Occupied
431        1.385600       0.726600   Partially Occupied
432        1.461100       0.321200   Partially Occupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.013000       1.000000   Occupied
431        1.413000       0.585500   Partially Occupied
432        1.427500       0.504400   Partially Occupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.001      0.054      0.000      0.055     
124    0.002      0.031      0.000      0.034     
138    0.001      0.053      0.000      0.055     
148    0.002      0.031      0.000      0.034     
165    0.001      0.045      0.000      0.046     
201    0.015      0.281      0.000      0.296     

Information of band 431:
index  s          p          d          tot       
112    0.002      0.029      0.000      0.031     
120    0.002      0.075      0.000      0.077     
136    0.002      0.029      0.000      0.031     
138    0.002      0.075      0.000      0.077     
165    0.006      0.259      0.000      0.265     

Information of band 432:
index  s          p          d          tot       
120    0.006      0.212      0.000      0.218     
138    0.006      0.212      0.000      0.218     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.004      0.171      0.000      0.175     
138    0.001      0.064      0.000      0.065     
165    0.004      0.165      0.000      0.169     

Information of band 431:
index  s          p          d          tot       
165    0.003      0.137      0.000      0.140     
201    0.013      0.242      0.000      0.256     

Information of band 432:
index  s          p          d          tot       
120    0.005      0.163      0.000      0.168     
138    0.008      0.264      0.000      0.272     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 430:
index  s          p          d          tot       
112    0.002      0.031      0.000      0.033     
120    0.001      0.047      0.000      0.048     
136    0.002      0.031      0.000      0.033     
138    0.001      0.047      0.000      0.048     
165    0.008      0.316      0.000      0.323     
189    0.002      0.032      0.000      0.034     
201    0.002      0.029      0.000      0.031     

Information of band 431:
index  s          p          d          tot       
120    0.002      0.081      0.000      0.083     
124    0.002      0.030      0.000      0.032     
138    0.002      0.081      0.000      0.083     
148    0.002      0.030      0.000      0.032     
201    0.013      0.241      0.000      0.254     

Information of band 432:
index  s          p          d          tot       
120    0.006      0.212      0.000      0.219     
138    0.006      0.212      0.000      0.219     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.002      0.091      0.000      0.093     
138    0.002      0.091      0.000      0.093     
201    0.014      0.230      0.000      0.244     

Information of band 431:
index  s          p          d          tot       
120    0.007      0.218      0.000      0.225     
138    0.007      0.218      0.000      0.225     

Information of band 432:
index  s          p          d          tot       
112    0.002      0.029      0.000      0.032     
120    0.002      0.047      0.000      0.048     
136    0.002      0.029      0.000      0.032     
138    0.002      0.047      0.000      0.048     
165    0.009      0.336      0.000      0.345     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.003      0.111      0.000      0.113     
138    0.002      0.082      0.000      0.083     
201    0.013      0.213      0.000      0.226     

Information of band 431:
index  s          p          d          tot       
120    0.008      0.244      0.000      0.253     
138    0.006      0.174      0.000      0.180     

Information of band 432:
index  s          p          d          tot       
136    0.002      0.029      0.000      0.031     
138    0.003      0.098      0.000      0.101     
165    0.009      0.320      0.000      0.329     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 430:
index  s          p          d          tot       
120    0.002      0.092      0.000      0.094     
138    0.002      0.092      0.000      0.094     
201    0.013      0.217      0.000      0.230     

Information of band 431:
index  s          p          d          tot       
112    0.003      0.029      0.000      0.031     
120    0.002      0.043      0.000      0.045     
136    0.003      0.029      0.000      0.031     
138    0.002      0.043      0.000      0.045     
165    0.009      0.349      0.000      0.358     
189    0.003      0.029      0.000      0.032     

Information of band 432:
index  s          p          d          tot       
120    0.007      0.218      0.000      0.225     
138    0.007      0.218      0.000      0.226     
