Defect: Va_B1-C_B2_-2

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.184900       1.000000   Occupied
431        1.701600       1.000000   Occupied
432        1.787900       1.000000   Occupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.118900       1.000000   Occupied
431        1.741100       1.000000   Occupied
432        1.795700       1.000000   Occupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.180400       1.000000   Occupied
431        1.741100       1.000000   Occupied
432        1.752400       1.000000   Occupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.184900       1.000000   Occupied
431        1.701600       1.000000   Occupied
432        1.787900       1.000000   Occupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.118900       1.000000   Occupied
431        1.741100       1.000000   Occupied
432        1.795700       1.000000   Occupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
430        1.180400       1.000000   Occupied
431        1.741100       1.000000   Occupied
432        1.752400       1.000000   Occupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
121    0.001      0.067      0.000      0.069     
123    0.003      0.028      0.000      0.031     
148    0.001      0.067      0.000      0.068     
174    0.001      0.058      0.000      0.059     
201    0.011      0.234      0.000      0.245     

Information of band 431:
index  s          p          d          tot       
148    0.011      0.270      0.000      0.280     
174    0.006      0.152      0.000      0.158     

Information of band 432:
index  s          p          d          tot       
121    0.011      0.274      0.000      0.285     
174    0.005      0.142      0.000      0.147     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 430:
index  s          p          d          tot       
121    0.001      0.071      0.000      0.072     
123    0.003      0.028      0.000      0.031     
148    0.001      0.061      0.000      0.062     
174    0.001      0.061      0.000      0.062     
201    0.012      0.244      0.000      0.256     

Information of band 431:
index  s          p          d          tot       
148    0.008      0.218      0.000      0.227     
174    0.008      0.218      0.000      0.227     

Information of band 432:
index  s          p          d          tot       
121    0.011      0.290      0.000      0.301     
148    0.003      0.074      0.000      0.077     
174    0.003      0.074      0.000      0.077     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 430:
index  s          p          d          tot       
121    0.002      0.078      0.000      0.080     
148    0.001      0.058      0.000      0.059     
174    0.001      0.058      0.000      0.059     
201    0.011      0.232      0.000      0.243     

Information of band 431:
index  s          p          d          tot       
148    0.008      0.218      0.000      0.227     
174    0.008      0.218      0.000      0.227     

Information of band 432:
index  s          p          d          tot       
121    0.011      0.289      0.000      0.300     
148    0.003      0.076      0.000      0.080     
174    0.003      0.076      0.000      0.080     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
121    0.001      0.067      0.000      0.069     
123    0.003      0.028      0.000      0.031     
148    0.001      0.067      0.000      0.068     
174    0.001      0.058      0.000      0.059     
201    0.011      0.234      0.000      0.245     

Information of band 431:
index  s          p          d          tot       
148    0.011      0.270      0.000      0.280     
174    0.006      0.152      0.000      0.158     

Information of band 432:
index  s          p          d          tot       
121    0.011      0.274      0.000      0.285     
174    0.005      0.142      0.000      0.147     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 430:
index  s          p          d          tot       
121    0.001      0.071      0.000      0.072     
123    0.003      0.028      0.000      0.031     
148    0.001      0.061      0.000      0.062     
174    0.001      0.061      0.000      0.062     
201    0.012      0.244      0.000      0.256     

Information of band 431:
index  s          p          d          tot       
148    0.008      0.218      0.000      0.227     
174    0.008      0.218      0.000      0.227     

Information of band 432:
index  s          p          d          tot       
121    0.011      0.290      0.000      0.301     
148    0.003      0.074      0.000      0.077     
174    0.003      0.074      0.000      0.077     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 430:
index  s          p          d          tot       
121    0.002      0.078      0.000      0.080     
148    0.001      0.058      0.000      0.059     
174    0.001      0.058      0.000      0.059     
201    0.011      0.232      0.000      0.243     

Information of band 431:
index  s          p          d          tot       
148    0.008      0.218      0.000      0.227     
174    0.008      0.218      0.000      0.227     

Information of band 432:
index  s          p          d          tot       
121    0.011      0.289      0.000      0.300     
148    0.003      0.076      0.000      0.080     
174    0.003      0.076      0.000      0.080     
