Defect: Va_N1-C_N2_4

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.537200       0.000000   Unoccupied
430        4.040700       0.000000   Unoccupied
431        4.105000       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.539500       0.000000   Unoccupied
430        4.083400       0.000000   Unoccupied
431        4.134300       0.000000   Unoccupied
432        4.446100       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.544700       0.000000   Unoccupied
430        4.016300       0.000000   Unoccupied
431        4.134900       0.000000   Unoccupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.537200       0.000000   Unoccupied
430        4.040700       0.000000   Unoccupied
431        4.105000       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.539500       0.000000   Unoccupied
430        4.083400       0.000000   Unoccupied
431        4.134300       0.000000   Unoccupied
432        4.446100       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.544700       0.000000   Unoccupied
430        4.016300       0.000000   Unoccupied
431        4.134900       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.070      0.000      0.070     
41     0.000      0.062      0.000      0.062     
71     0.000      0.065      0.000      0.065     
104    0.001      0.037      0.000      0.038     

Information of band 430:
index  s          p          d          tot       
26     0.001      0.118      0.000      0.119     
41     0.002      0.205      0.000      0.207     

Information of band 431:
index  s          p          d          tot       
26     0.001      0.089      0.000      0.090     
71     0.003      0.229      0.000      0.231     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.069      0.000      0.069     
41     0.000      0.065      0.000      0.065     
71     0.000      0.065      0.000      0.065     
104    0.001      0.035      0.000      0.037     

Information of band 430:
index  s          p          d          tot       
26     0.002      0.215      0.000      0.217     
41     0.001      0.065      0.000      0.065     
71     0.001      0.065      0.000      0.065     

Information of band 431:
index  s          p          d          tot       
41     0.002      0.173      0.000      0.175     
71     0.002      0.173      0.000      0.175     

Information of band 432:
index  s          p          d          tot       
104    0.002      0.206      0.000      0.208     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.067      0.000      0.067     
41     0.000      0.065      0.000      0.065     
71     0.000      0.065      0.000      0.065     
104    0.001      0.037      0.000      0.038     

Information of band 430:
index  s          p          d          tot       
26     0.002      0.214      0.000      0.216     
41     0.001      0.057      0.000      0.057     
71     0.001      0.057      0.000      0.057     

Information of band 431:
index  s          p          d          tot       
41     0.002      0.173      0.000      0.175     
71     0.002      0.173      0.000      0.175     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.070      0.000      0.070     
41     0.000      0.062      0.000      0.062     
71     0.000      0.065      0.000      0.065     
104    0.001      0.037      0.000      0.038     

Information of band 430:
index  s          p          d          tot       
26     0.001      0.118      0.000      0.119     
41     0.002      0.205      0.000      0.207     

Information of band 431:
index  s          p          d          tot       
26     0.001      0.089      0.000      0.090     
71     0.003      0.229      0.000      0.231     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.069      0.000      0.069     
41     0.000      0.065      0.000      0.065     
71     0.000      0.065      0.000      0.065     
104    0.001      0.035      0.000      0.037     

Information of band 430:
index  s          p          d          tot       
26     0.002      0.215      0.000      0.217     
41     0.001      0.065      0.000      0.065     
71     0.001      0.065      0.000      0.065     

Information of band 431:
index  s          p          d          tot       
41     0.002      0.173      0.000      0.175     
71     0.002      0.173      0.000      0.175     

Information of band 432:
index  s          p          d          tot       
104    0.002      0.206      0.000      0.208     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.067      0.000      0.067     
41     0.000      0.065      0.000      0.065     
71     0.000      0.065      0.000      0.065     
104    0.001      0.037      0.000      0.038     

Information of band 430:
index  s          p          d          tot       
26     0.002      0.214      0.000      0.216     
41     0.001      0.057      0.000      0.057     
71     0.001      0.057      0.000      0.057     

Information of band 431:
index  s          p          d          tot       
41     0.002      0.173      0.000      0.175     
71     0.002      0.173      0.000      0.175     
