Defect: B_N1-Va_B1_2

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.002200       0.995300   Occupied
431        0.445900       0.000100   Unoccupied
432        1.036700       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
430        0.009000       0.993800   Occupied
431        0.377100       0.003400   Unoccupied
432        1.087100       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
431        0.446700       0.000100   Unoccupied
432        1.088000       0.000000   Unoccupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
428        0.413400       0.000600   Unoccupied
429        0.703500       0.000000   Unoccupied
430        0.782100       0.000000   Unoccupied
431        0.941300       0.000000   Unoccupied
432        1.140300       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
428        0.388700       0.002000   Unoccupied
429        0.636700       0.000000   Unoccupied
430        0.795700       0.000000   Unoccupied
431        0.980800       0.000000   Unoccupied
432        1.187600       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
428        0.365200       0.005600   Unoccupied
429        0.703800       0.000000   Unoccupied
430        0.783200       0.000000   Unoccupied
431        0.942400       0.000000   Unoccupied
432        1.181800       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 430:
index  s          p          d          tot       
26     0.002      0.048      0.000      0.050     
108    0.000      0.110      0.000      0.111     
134    0.001      0.030      0.000      0.031     

Information of band 431:
index  s          p          d          tot       
70     0.003      0.050      0.000      0.053     
103    0.003      0.050      0.000      0.053     
108    0.000      0.158      0.000      0.158     
125    0.001      0.044      0.000      0.046     
131    0.001      0.044      0.000      0.046     
175    0.001      0.058      0.000      0.060     
202    0.001      0.058      0.000      0.060     

Information of band 432:
index  s          p          d          tot       
41     0.003      0.109      0.000      0.112     
108    0.005      0.212      0.000      0.217     
122    0.002      0.030      0.000      0.031     
174    0.002      0.030      0.000      0.032     
178    0.002      0.028      0.000      0.031     
201    0.002      0.030      0.000      0.032     
211    0.002      0.028      0.000      0.031     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 430:
index  s          p          d          tot       
26     0.002      0.044      0.000      0.046     
108    0.001      0.109      0.000      0.110     
149    0.001      0.040      0.000      0.041     
202    0.002      0.046      0.000      0.048     

Information of band 431:
index  s          p          d          tot       
70     0.004      0.053      0.000      0.057     
103    0.004      0.056      0.000      0.059     
108    0.000      0.171      0.000      0.171     
125    0.002      0.045      0.000      0.046     
131    0.002      0.042      0.000      0.044     
175    0.002      0.055      0.000      0.057     
202    0.002      0.062      0.000      0.064     

Information of band 432:
index  s          p          d          tot       
41     0.003      0.106      0.000      0.109     
108    0.005      0.206      0.000      0.211     
122    0.002      0.030      0.000      0.032     
174    0.002      0.029      0.000      0.031     
201    0.001      0.031      0.000      0.033     
211    0.002      0.030      0.000      0.032     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 431:
index  s          p          d          tot       
70     0.003      0.050      0.000      0.053     
103    0.003      0.050      0.000      0.053     
