Defect: Va_B1-Va_N1_3

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.883200       0.000000   Unoccupied
430        4.029700       0.000000   Unoccupied
431        4.098400       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.862000       0.000000   Unoccupied
430        4.104200       0.000000   Unoccupied
431        4.104200       0.000000   Unoccupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
427        0.422900       0.000000   Unoccupied
428        0.495500       0.000000   Unoccupied
429        1.893500       0.000000   Unoccupied
430        4.030000       0.000000   Unoccupied
431        4.099000       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
427        0.504700       0.000000   Unoccupied
428        0.504700       0.000000   Unoccupied
429        1.874300       0.000000   Unoccupied
430        4.103100       0.000000   Unoccupied
431        4.103100       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.082      0.000      0.082     

Information of band 430:
index  s          p          d          tot       
18     0.001      0.054      0.000      0.054     
70     0.001      0.054      0.000      0.054     
94     0.003      0.221      0.000      0.224     

Information of band 431:
index  s          p          d          tot       
18     0.002      0.174      0.000      0.176     
70     0.002      0.174      0.000      0.176     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.084      0.000      0.084     

Information of band 430:
index  s          p          d          tot       
70     0.002      0.175      0.000      0.177     
94     0.002      0.175      0.000      0.177     

Information of band 431:
index  s          p          d          tot       
18     0.003      0.234      0.000      0.236     
70     0.001      0.059      0.000      0.059     
94     0.001      0.059      0.000      0.059     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 427:
index  s          p          d          tot       
122    0.002      0.073      0.000      0.075     
149    0.006      0.287      0.000      0.294     
175    0.002      0.073      0.000      0.075     
211    0.002      0.031      0.000      0.033     

Information of band 428:
index  s          p          d          tot       
122    0.004      0.203      0.000      0.207     
175    0.004      0.203      0.000      0.207     

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.082      0.000      0.082     

Information of band 430:
index  s          p          d          tot       
18     0.001      0.054      0.000      0.054     
70     0.001      0.054      0.000      0.054     
94     0.003      0.221      0.000      0.224     

Information of band 431:
index  s          p          d          tot       
18     0.002      0.174      0.000      0.176     
70     0.002      0.174      0.000      0.176     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 427:
index  s          p          d          tot       
122    0.001      0.070      0.000      0.071     
130    0.001      0.029      0.000      0.031     
145    0.001      0.029      0.000      0.031     
149    0.001      0.070      0.000      0.071     
175    0.006      0.268      0.000      0.274     
207    0.001      0.030      0.000      0.032     

Information of band 428:
index  s          p          d          tot       
122    0.004      0.202      0.000      0.206     
149    0.004      0.202      0.000      0.206     

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.084      0.000      0.084     

Information of band 430:
index  s          p          d          tot       
70     0.002      0.175      0.000      0.177     
94     0.002      0.175      0.000      0.177     

Information of band 431:
index  s          p          d          tot       
18     0.003      0.234      0.000      0.236     
70     0.001      0.059      0.000      0.059     
94     0.001      0.059      0.000      0.059     
