Defect: C_B1-Va_N1_3

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.503300       0.488700   Partially Occupied
430        3.913500       0.000000   Unoccupied
431        4.026200       0.000000   Unoccupied
432        4.123300       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.503400       0.488400   Partially Occupied
430        3.919000       0.000000   Unoccupied
431        3.997800       0.000000   Unoccupied
432        4.146400       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.501000       0.501800   Partially Occupied
430        3.946400       0.000000   Unoccupied
431        4.026000       0.000000   Unoccupied
432        4.091000       0.000000   Unoccupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.500400       0.505100   Partially Occupied
430        3.911800       0.000000   Unoccupied
431        4.023900       0.000000   Unoccupied
432        4.121700       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.500500       0.504800   Partially Occupied
430        3.917100       0.000000   Unoccupied
431        3.995600       0.000000   Unoccupied
432        4.144800       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
429        0.498100       0.518200   Partially Occupied
430        3.944500       0.000000   Unoccupied
431        4.023700       0.000000   Unoccupied
432        4.089500       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.044      0.000      0.044     
41     0.000      0.044      0.000      0.044     
70     0.001      0.065      0.000      0.065     
103    0.001      0.065      0.000      0.065     

Information of band 430:
index  s          p          d          tot       
41     0.009      0.195      0.000      0.204     
70     0.004      0.060      0.000      0.064     
103    0.004      0.060      0.000      0.064     

Information of band 431:
index  s          p          d          tot       
70     0.012      0.179      0.000      0.191     
103    0.012      0.179      0.000      0.191     

Information of band 432:
index  s          p          d          tot       
26     0.012      0.255      0.000      0.267     
41     0.003      0.059      0.000      0.062     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.044      0.000      0.044     
41     0.000      0.046      0.000      0.046     
70     0.000      0.062      0.000      0.062     
103    0.000      0.065      0.000      0.065     

Information of band 430:
index  s          p          d          tot       
26     0.002      0.036      0.000      0.038     
41     0.006      0.121      0.000      0.127     
70     0.011      0.170      0.000      0.181     

Information of band 431:
index  s          p          d          tot       
41     0.002      0.035      0.000      0.037     
70     0.005      0.071      0.000      0.076     
103    0.016      0.240      0.000      0.256     

Information of band 432:
index  s          p          d          tot       
26     0.011      0.227      0.000      0.238     
41     0.006      0.108      0.000      0.114     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.042      0.000      0.042     
41     0.000      0.046      0.000      0.046     
70     0.001      0.065      0.000      0.065     
103    0.001      0.065      0.000      0.065     

Information of band 430:
index  s          p          d          tot       
26     0.003      0.069      0.000      0.072     
41     0.006      0.124      0.000      0.130     
70     0.005      0.072      0.000      0.077     
103    0.005      0.072      0.000      0.077     

Information of band 431:
index  s          p          d          tot       
70     0.012      0.179      0.000      0.191     
103    0.012      0.179      0.000      0.191     

Information of band 432:
index  s          p          d          tot       
26     0.009      0.188      0.000      0.197     
41     0.007      0.141      0.000      0.148     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.044      0.000      0.044     
41     0.000      0.044      0.000      0.044     
70     0.001      0.065      0.000      0.065     
103    0.001      0.065      0.000      0.065     

Information of band 430:
index  s          p          d          tot       
41     0.009      0.195      0.000      0.204     
70     0.004      0.060      0.000      0.064     
103    0.004      0.060      0.000      0.064     

Information of band 431:
index  s          p          d          tot       
70     0.012      0.179      0.000      0.191     
103    0.012      0.179      0.000      0.191     

Information of band 432:
index  s          p          d          tot       
26     0.012      0.255      0.000      0.267     
41     0.003      0.059      0.000      0.062     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.044      0.000      0.044     
41     0.000      0.046      0.000      0.046     
70     0.000      0.062      0.000      0.062     
103    0.000      0.065      0.000      0.065     

Information of band 430:
index  s          p          d          tot       
26     0.002      0.036      0.000      0.038     
41     0.006      0.121      0.000      0.127     
70     0.011      0.170      0.000      0.182     

Information of band 431:
index  s          p          d          tot       
41     0.002      0.035      0.000      0.037     
70     0.005      0.070      0.000      0.076     
103    0.016      0.240      0.000      0.256     

Information of band 432:
index  s          p          d          tot       
26     0.011      0.227      0.000      0.238     
41     0.006      0.108      0.000      0.114     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.042      0.000      0.042     
41     0.000      0.046      0.000      0.046     
70     0.001      0.065      0.000      0.065     
103    0.001      0.065      0.000      0.065     

Information of band 430:
index  s          p          d          tot       
26     0.003      0.069      0.000      0.072     
41     0.006      0.124      0.000      0.130     
70     0.005      0.072      0.000      0.077     
103    0.005      0.072      0.000      0.077     

Information of band 431:
index  s          p          d          tot       
70     0.012      0.179      0.000      0.191     
103    0.012      0.179      0.000      0.191     

Information of band 432:
index  s          p          d          tot       
26     0.009      0.188      0.000      0.198     
41     0.007      0.141      0.000      0.148     
