Defect: Va_B1-Va_N1_4

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.904600       0.000000   Unoccupied
430        4.047300       0.000000   Unoccupied
431        4.116200       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.883600       0.000000   Unoccupied
430        4.122100       0.000000   Unoccupied
431        4.122100       0.000000   Unoccupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
427        0.152600       0.000000   Unoccupied
428        0.245500       0.000000   Unoccupied
429        1.910100       0.000000   Unoccupied
430        4.046400       0.000000   Unoccupied
431        4.115400       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
427        0.256000       0.000000   Unoccupied
428        0.256000       0.000000   Unoccupied
429        1.890400       0.000000   Unoccupied
430        4.120200       0.000000   Unoccupied
431        4.120300       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.082      0.000      0.082     

Information of band 430:
index  s          p          d          tot       
18     0.001      0.054      0.000      0.054     
70     0.001      0.054      0.000      0.054     
94     0.003      0.221      0.000      0.223     

Information of band 431:
index  s          p          d          tot       
18     0.002      0.174      0.000      0.176     
70     0.002      0.174      0.000      0.176     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.084      0.000      0.084     

Information of band 430:
index  s          p          d          tot       
70     0.002      0.175      0.000      0.177     
94     0.002      0.175      0.000      0.177     

Information of band 431:
index  s          p          d          tot       
18     0.003      0.234      0.000      0.236     
70     0.001      0.058      0.000      0.059     
94     0.001      0.058      0.000      0.059     




########################################################################
                               SPIN DOWN                                
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 427:
index  s          p          d          tot       
122    0.001      0.070      0.000      0.071     
134    0.001      0.030      0.000      0.032     
149    0.005      0.275      0.000      0.280     
175    0.001      0.070      0.000      0.071     
179    0.001      0.030      0.000      0.032     
211    0.001      0.035      0.000      0.036     

Information of band 428:
index  s          p          d          tot       
122    0.003      0.186      0.000      0.190     
175    0.003      0.186      0.000      0.190     

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.082      0.000      0.082     

Information of band 430:
index  s          p          d          tot       
18     0.001      0.054      0.000      0.054     
70     0.001      0.054      0.000      0.054     
94     0.003      0.221      0.000      0.224     

Information of band 431:
index  s          p          d          tot       
18     0.002      0.174      0.000      0.176     
70     0.002      0.174      0.000      0.176     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 427:
index  s          p          d          tot       
122    0.001      0.064      0.000      0.065     
130    0.001      0.031      0.000      0.032     
145    0.001      0.031      0.000      0.032     
149    0.001      0.064      0.000      0.065     
175    0.004      0.245      0.000      0.249     
207    0.001      0.033      0.000      0.034     

Information of band 428:
index  s          p          d          tot       
122    0.003      0.185      0.000      0.188     
149    0.003      0.185      0.000      0.188     

Information of band 429:
index  s          p          d          tot       
18     0.000      0.084      0.000      0.084     
70     0.000      0.084      0.000      0.084     
94     0.000      0.084      0.000      0.084     

Information of band 430:
index  s          p          d          tot       
70     0.002      0.175      0.000      0.177     
94     0.002      0.175      0.000      0.177     

Information of band 431:
index  s          p          d          tot       
18     0.003      0.234      0.000      0.236     
70     0.001      0.059      0.000      0.059     
94     0.001      0.059      0.000      0.059     
