Defect: C_B1-Va_N1_4

VBM = 7.2945 eV
CBM = 11.7449 eV


###########################################################
           vasprun.xml file (EIGENVAL information)                            
###########################################################
###########################################################
                           SPIN UP                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.229300       0.000000   Unoccupied
430        3.841500       0.000000   Unoccupied
431        3.913700       0.000000   Unoccupied
432        4.089000       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.230400       0.000000   Unoccupied
430        3.831700       0.000000   Unoccupied
431        3.898000       0.000000   Unoccupied
432        4.118200       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.227300       0.000000   Unoccupied
430        3.873000       0.000000   Unoccupied
431        3.913600       0.000000   Unoccupied
432        4.058200       0.000000   Unoccupied


###########################################################
                           SPIN DOWN                     
###########################################################
###########################################################
                          kpoint 1                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.229300       0.000000   Unoccupied
430        3.841500       0.000000   Unoccupied
431        3.913700       0.000000   Unoccupied
432        4.089000       0.000000   Unoccupied
###########################################################
                          kpoint 2                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.230400       0.000000   Unoccupied
430        3.831700       0.000000   Unoccupied
431        3.898000       0.000000   Unoccupied
432        4.118200       0.000000   Unoccupied
###########################################################
                          kpoint 3                   
###########################################################
Band       Energy         Occ        Occupancy
429        1.227300       0.000000   Unoccupied
430        3.873000       0.000000   Unoccupied
431        3.913600       0.000000   Unoccupied
432        4.058200       0.000000   Unoccupied




########################################################################
                  vasprun.xml file (PROCAR information)
########################################################################
########################################################################
                               SPIN UP                                  
########################################################################

########################################################################
                               KPOINT 1                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.048      0.000      0.048     
41     0.000      0.047      0.000      0.047     
70     0.000      0.068      0.000      0.068     
103    0.000      0.068      0.000      0.068     

Information of band 430:
index  s          p          d          tot       
41     0.001      0.178      0.000      0.179     
70     0.000      0.063      0.000      0.063     
103    0.000      0.063      0.000      0.063     

Information of band 431:
index  s          p          d          tot       
70     0.002      0.178      0.000      0.180     
103    0.002      0.178      0.000      0.180     

Information of band 432:
index  s          p          d          tot       
26     0.002      0.243      0.000      0.245     
41     0.001      0.071      0.000      0.072     

########################################################################
                               KPOINT 2                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.048      0.000      0.048     
41     0.000      0.050      0.000      0.050     
70     0.000      0.065      0.000      0.065     
103    0.000      0.068      0.000      0.068     

Information of band 430:
index  s          p          d          tot       
41     0.001      0.072      0.000      0.072     
70     0.002      0.225      0.000      0.227     

Information of band 431:
index  s          p          d          tot       
41     0.001      0.071      0.000      0.072     
103    0.002      0.239      0.000      0.241     

Information of band 432:
index  s          p          d          tot       
26     0.002      0.219      0.000      0.221     
41     0.001      0.117      0.000      0.118     

########################################################################
                               KPOINT 3                             
########################################################################

Information of band 429:
index  s          p          d          tot       
26     0.000      0.045      0.000      0.046     
41     0.000      0.050      0.000      0.050     
70     0.000      0.068      0.000      0.068     
103    0.000      0.068      0.000      0.068     

Information of band 430:
index  s          p          d          tot       
26     0.001      0.070      0.000      0.070     
41     0.001      0.115      0.000      0.116     
70     0.001      0.072      0.000      0.073     
103    0.001      0.072      0.000      0.073     

Information of band 431:
index  s          p          d          tot       
70     0.002      0.178      0.000      0.180     
103    0.002      0.178      0.000      0.180     

Information of band 432:
index  s          p          d          tot       
26     0.002      0.181      0.000      0.183     
